Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
HomerSimpson_R2 - polya	(1, 0.30303030303030304)	(2, 0.30303030303030304)	(3, 0.30303030303030304)	(4, 0.30303030303030304)	(5, 0.30303030303030304)	(6, 0.30303030303030304)	(7, 0.30303030303030304)	(8, 0.30303030303030304)	(9, 0.30303030303030304)	(10, 0.30303030303030304)	(15, 0.30303030303030304)	(20, 0.36363636363636365)	(25, 0.4242424242424242)	(30, 0.4545454545454545)	(35, 0.4545454545454545)	(40, 0.4545454545454545)	(45, 0.4545454545454545)	(50, 0.4545454545454545)	(55, 0.4545454545454545)	(60, 0.4545454545454545)	(65, 0.48484848484848475)	(70, 0.5303030303030303)	(75, 0.5606060606060606)	(80, 0.6060606060606061)	(85, 0.6060606060606061)	(90, 0.6060606060606061)	(95, 0.6060606060606061)	(100, 0.6515151515151515)	(105, 0.6818181818181818)	(110, 0.6818181818181818)	(115, 0.6818181818181818)	(120, 0.7121212121212122)	(125, 0.7575757575757576)	(130, 0.7575757575757576)	(135, 0.8181818181818181)	(140, 0.8333333333333334)
HomerSimpson_R2_filtered - polya	(1, 0.30557677616501144)	(2, 0.30557677616501144)	(3, 0.30557677616501144)	(4, 0.30557677616501144)	(5, 0.30557677616501144)	(6, 0.30557677616501144)	(7, 0.30557677616501144)	(8, 0.30557677616501144)	(9, 0.30557677616501144)	(10, 0.30557677616501144)	(15, 0.30557677616501144)	(20, 0.36669213139801377)	(25, 0.427807486631016)	(30, 0.45836516424751717)	(35, 0.45836516424751717)	(40, 0.45836516424751717)	(45, 0.45836516424751717)	(50, 0.45836516424751717)	(55, 0.45836516424751717)	(60, 0.45836516424751717)	(65, 0.4889228418640183)	(70, 0.5347593582887701)	(75, 0.5653170359052713)	(80, 0.6111535523300229)	(85, 0.6111535523300229)	(90, 0.6111535523300229)	(95, 0.6111535523300229)	(100, 0.6569900687547746)	(105, 0.6875477463712758)	(110, 0.6875477463712758)	(115, 0.6875477463712758)	(120, 0.718105423987777)	(125, 0.7639419404125286)	(130, 0.7639419404125286)	(135, 0.825057295645531)	(140, 0.8403361344537815)
LisaSimpson_R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.07575757575757576)	(35, 0.07575757575757576)	(40, 0.09090909090909091)	(45, 0.19696969696969696)	(50, 0.30303030303030304)	(55, 0.30303030303030304)	(60, 0.30303030303030304)	(65, 0.3787878787878788)	(70, 0.3787878787878788)	(75, 0.40909090909090906)	(80, 0.4545454545454545)	(85, 0.4545454545454545)	(90, 0.4545454545454545)	(95, 0.4545454545454545)	(100, 0.4545454545454545)	(105, 0.4545454545454545)	(110, 0.4545454545454545)	(115, 0.4545454545454545)	(120, 0.4545454545454545)	(125, 0.5606060606060606)	(130, 0.6060606060606061)	(135, 0.6666666666666666)	(140, 0.7575757575757576)
LisaSimpson_R1_filtered - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.07627765064836003)	(35, 0.07627765064836003)	(40, 0.09153318077803205)	(45, 0.19832189168573608)	(50, 0.30511060259344014)	(55, 0.30511060259344014)	(60, 0.30511060259344014)	(65, 0.38138825324180015)	(70, 0.38138825324180015)	(75, 0.41189931350114417)	(80, 0.4576659038901602)	(85, 0.4576659038901602)	(90, 0.4576659038901602)	(95, 0.4576659038901602)	(100, 0.4576659038901602)	(105, 0.4576659038901602)	(110, 0.4576659038901602)	(115, 0.4576659038901602)	(120, 0.4576659038901602)	(125, 0.5339435545385202)	(130, 0.5339435545385202)	(135, 0.5491990846681922)	(140, 0.6102212051868803)
LisaSimpson_R2 - polya	(1, 0.22727272727272727)	(2, 0.22727272727272727)	(3, 0.22727272727272727)	(4, 0.22727272727272727)	(5, 0.22727272727272727)	(6, 0.22727272727272727)	(7, 0.22727272727272727)	(8, 0.22727272727272727)	(9, 0.22727272727272727)	(10, 0.22727272727272724)	(15, 0.24242424242424243)	(20, 0.30303030303030304)	(25, 0.30303030303030304)	(30, 0.30303030303030304)	(35, 0.30303030303030304)	(40, 0.30303030303030304)	(45, 0.30303030303030304)	(50, 0.30303030303030304)	(55, 0.30303030303030304)	(60, 0.30303030303030304)	(65, 0.30303030303030304)	(70, 0.30303030303030304)	(75, 0.30303030303030304)	(80, 0.30303030303030304)	(85, 0.3181818181818182)	(90, 0.3787878787878788)	(95, 0.40909090909090906)	(100, 0.4545454545454545)	(105, 0.4545454545454545)	(110, 0.4545454545454545)	(115, 0.4696969696969697)	(120, 0.5303030303030303)	(125, 0.5303030303030303)	(130, 0.5303030303030303)	(135, 0.5303030303030303)	(140, 0.5303030303030303)
LisaSimpson_R2_filtered - polya	(1, 0.2288329519450801)	(2, 0.2288329519450801)	(3, 0.2288329519450801)	(4, 0.2288329519450801)	(5, 0.2288329519450801)	(6, 0.2288329519450801)	(7, 0.2288329519450801)	(8, 0.2288329519450801)	(9, 0.2288329519450801)	(10, 0.2288329519450801)	(15, 0.24408848207475212)	(20, 0.30511060259344014)	(25, 0.30511060259344014)	(30, 0.30511060259344014)	(35, 0.30511060259344014)	(40, 0.30511060259344014)	(45, 0.30511060259344014)	(50, 0.30511060259344014)	(55, 0.30511060259344014)	(60, 0.30511060259344014)	(65, 0.30511060259344014)	(70, 0.30511060259344014)	(75, 0.30511060259344014)	(80, 0.30511060259344014)	(85, 0.30511060259344014)	(90, 0.30511060259344014)	(95, 0.3356216628527841)	(100, 0.38138825324180015)	(105, 0.38138825324180015)	(110, 0.38138825324180015)	(115, 0.39664378337147216)	(120, 0.4576659038901602)	(125, 0.4576659038901602)	(130, 0.4576659038901602)	(135, 0.4576659038901602)	(140, 0.4576659038901602)
MaggieSimpson_R1 - polya	(1, 0.07530120481927711)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.07530120481927711)	(8, 0.07530120481927711)	(9, 0.07530120481927711)	(10, 0.07530120481927711)	(15, 0.12048192771084339)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.24096385542168677)	(40, 0.30120481927710846)	(45, 0.30120481927710846)	(50, 0.30120481927710846)	(55, 0.30120481927710846)	(60, 0.30120481927710846)	(65, 0.3313253012048193)	(70, 0.37650602409638556)	(75, 0.37650602409638556)	(80, 0.37650602409638556)	(85, 0.37650602409638556)	(90, 0.37650602409638556)	(95, 0.37650602409638556)	(100, 0.4066265060240964)	(105, 0.48192771084337344)	(110, 0.5271084337349398)	(115, 0.572289156626506)	(120, 0.677710843373494)	(125, 0.783132530120482)	(130, 0.9036144578313253)	(135, 0.9036144578313253)	(140, 0.9036144578313253)
MaggieSimpson_R1_filtered - polya	(1, 0.0758150113722517)	(2, 0.0758150113722517)	(3, 0.0758150113722517)	(4, 0.0758150113722517)	(5, 0.0758150113722517)	(6, 0.0758150113722517)	(7, 0.0758150113722517)	(8, 0.0758150113722517)	(9, 0.0758150113722517)	(10, 0.0758150113722517)	(15, 0.12130401819560273)	(20, 0.1516300227445034)	(25, 0.1516300227445034)	(30, 0.1516300227445034)	(35, 0.24260803639120546)	(40, 0.3032600454890068)	(45, 0.3032600454890068)	(50, 0.3032600454890068)	(55, 0.3032600454890068)	(60, 0.3032600454890068)	(65, 0.33358605003790753)	(70, 0.37907505686125853)	(75, 0.37907505686125853)	(80, 0.37907505686125853)	(85, 0.37907505686125853)	(90, 0.37907505686125853)	(95, 0.37907505686125853)	(100, 0.4094010614101592)	(105, 0.48521607278241097)	(110, 0.530705079605762)	(115, 0.576194086429113)	(120, 0.6823351023502654)	(125, 0.7581501137225172)	(130, 0.8339651250947687)	(135, 0.8339651250947687)	(140, 0.8339651250947687)
MaggieSimpson_R2 - polya	(1, 0.30120481927710846)	(2, 0.30120481927710846)	(3, 0.30120481927710846)	(4, 0.30120481927710846)	(5, 0.30120481927710846)	(6, 0.30120481927710846)	(7, 0.30120481927710846)	(8, 0.30120481927710846)	(9, 0.30120481927710846)	(10, 0.30120481927710846)	(15, 0.30120481927710846)	(20, 0.30120481927710846)	(25, 0.37650602409638556)	(30, 0.37650602409638556)	(35, 0.37650602409638556)	(40, 0.37650602409638556)	(45, 0.37650602409638556)	(50, 0.37650602409638556)	(55, 0.42168674698795183)	(60, 0.45180722891566266)	(65, 0.45180722891566266)	(70, 0.45180722891566266)	(75, 0.45180722891566266)	(80, 0.45180722891566266)	(85, 0.45180722891566266)	(90, 0.45180722891566266)	(95, 0.45180722891566266)	(100, 0.45180722891566266)	(105, 0.45180722891566266)	(110, 0.45180722891566266)	(115, 0.5120481927710843)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.5271084337349398)	(140, 0.5271084337349398)
MaggieSimpson_R2_filtered - polya	(1, 0.22744503411675512)	(2, 0.22744503411675512)	(3, 0.22744503411675512)	(4, 0.22744503411675512)	(5, 0.22744503411675512)	(6, 0.22744503411675512)	(7, 0.22744503411675512)	(8, 0.22744503411675512)	(9, 0.22744503411675512)	(10, 0.22744503411675515)	(15, 0.22744503411675515)	(20, 0.22744503411675515)	(25, 0.3032600454890068)	(30, 0.3032600454890068)	(35, 0.3032600454890068)	(40, 0.3032600454890068)	(45, 0.3032600454890068)	(50, 0.3032600454890068)	(55, 0.34874905231235787)	(60, 0.37907505686125853)	(65, 0.37907505686125853)	(70, 0.37907505686125853)	(75, 0.37907505686125853)	(80, 0.37907505686125853)	(85, 0.37907505686125853)	(90, 0.37907505686125853)	(95, 0.37907505686125853)	(100, 0.37907505686125853)	(105, 0.37907505686125853)	(110, 0.37907505686125853)	(115, 0.43972706595905986)	(120, 0.4548900682335103)	(125, 0.4548900682335103)	(130, 0.4548900682335103)	(135, 0.4548900682335103)	(140, 0.45489006823351025)
MargeSimpson_R1 - polya	(1, 0.0)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.07530120481927711)	(8, 0.07530120481927711)	(9, 0.07530120481927711)	(10, 0.07530120481927711)	(15, 0.07530120481927711)	(20, 0.10542168674698796)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.15060240963855423)	(40, 0.1807228915662651)	(45, 0.22590361445783133)	(50, 0.22590361445783133)	(55, 0.22590361445783133)	(60, 0.22590361445783133)	(65, 0.22590361445783133)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.30120481927710846)	(90, 0.30120481927710846)	(95, 0.3313253012048193)	(100, 0.37650602409638556)	(105, 0.4066265060240964)	(110, 0.4969879518072289)	(115, 0.5421686746987951)	(120, 0.677710843373494)	(125, 0.7981927710843374)	(130, 0.8283132530120481)	(135, 0.8283132530120481)	(140, 0.8283132530120482)
MargeSimpson_R2 - polya	(1, 0.3698224852071006)	(2, 0.4437869822485207)	(3, 0.4437869822485207)	(4, 0.4437869822485207)	(5, 0.5177514792899408)	(6, 0.5177514792899408)	(7, 0.5177514792899408)	(8, 0.5177514792899408)	(9, 0.5177514792899408)	(10, 0.5177514792899408)	(15, 0.5177514792899408)	(20, 0.5177514792899408)	(25, 0.5177514792899408)	(30, 0.5177514792899408)	(35, 0.5473372781065089)	(40, 0.591715976331361)	(45, 0.6213017751479291)	(50, 0.7100591715976331)	(55, 0.7396449704142012)	(60, 0.7396449704142012)	(65, 0.7396449704142012)	(70, 0.7396449704142012)	(75, 0.7396449704142012)	(80, 0.7396449704142012)	(85, 0.7396449704142012)	(90, 0.7396449704142012)	(95, 0.7396449704142012)	(100, 0.7396449704142012)	(105, 0.7396449704142012)	(110, 0.7396449704142012)	(115, 0.7544378698224852)	(120, 0.8136094674556213)	(125, 0.8136094674556213)	(130, 0.8136094674556213)	(135, 0.8284023668639053)	(140, 0.8875739644970414)
PattyBouvier_R1 - polya	(1, 0.07575757575757576)	(2, 0.07575757575757576)	(3, 0.07575757575757576)	(4, 0.07575757575757576)	(5, 0.07575757575757576)	(6, 0.07575757575757576)	(7, 0.07575757575757576)	(8, 0.07575757575757576)	(9, 0.07575757575757576)	(10, 0.07575757575757576)	(15, 0.07575757575757576)	(20, 0.07575757575757576)	(25, 0.07575757575757576)	(30, 0.07575757575757576)	(35, 0.07575757575757576)	(40, 0.13636363636363635)	(45, 0.15151515151515152)	(50, 0.15151515151515152)	(55, 0.15151515151515152)	(60, 0.15151515151515152)	(65, 0.15151515151515152)	(70, 0.15151515151515152)	(75, 0.15151515151515152)	(80, 0.15151515151515152)	(85, 0.15151515151515152)	(90, 0.15151515151515152)	(95, 0.16666666666666669)	(100, 0.22727272727272724)	(105, 0.22727272727272724)	(110, 0.30303030303030304)	(115, 0.30303030303030304)	(120, 0.3787878787878788)	(125, 0.5151515151515151)	(130, 0.6060606060606061)	(135, 0.7272727272727273)	(140, 0.8333333333333334)
PattyBouvier_R2 - polya	(1, 0.1488095238095238)	(2, 0.1488095238095238)	(3, 0.1488095238095238)	(4, 0.1488095238095238)	(5, 0.22321428571428573)	(6, 0.22321428571428573)	(7, 0.22321428571428573)	(8, 0.22321428571428573)	(9, 0.22321428571428573)	(10, 0.22321428571428573)	(15, 0.22321428571428573)	(20, 0.22321428571428573)	(25, 0.22321428571428573)	(30, 0.2529761904761905)	(35, 0.3273809523809524)	(40, 0.37202380952380953)	(45, 0.37202380952380953)	(50, 0.4017857142857143)	(55, 0.505952380952381)	(60, 0.5208333333333334)	(65, 0.5208333333333334)	(70, 0.5208333333333334)	(75, 0.5208333333333334)	(80, 0.5952380952380952)	(85, 0.5952380952380952)	(90, 0.5952380952380952)	(95, 0.5952380952380952)	(100, 0.5952380952380952)	(105, 0.5952380952380952)	(110, 0.5952380952380952)	(115, 0.5952380952380952)	(120, 0.5952380952380952)	(125, 0.5952380952380952)	(130, 0.5952380952380952)	(135, 0.5952380952380952)	(140, 0.6696428571428571)
SelmaBouvier_R1 - polya	(1, 0.07530120481927711)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.15060240963855423)	(8, 0.15060240963855423)	(9, 0.15060240963855423)	(10, 0.15060240963855423)	(15, 0.15060240963855423)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.1957831325301205)	(40, 0.22590361445783133)	(45, 0.22590361445783133)	(50, 0.22590361445783133)	(55, 0.24096385542168677)	(60, 0.30120481927710846)	(65, 0.37650602409638556)	(70, 0.37650602409638556)	(75, 0.37650602409638556)	(80, 0.45180722891566266)	(85, 0.45180722891566266)	(90, 0.45180722891566266)	(95, 0.45180722891566266)	(100, 0.45180722891566266)	(105, 0.45180722891566266)	(110, 0.5271084337349398)	(115, 0.5271084337349398)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.783132530120482)	(140, 0.8283132530120482)
SelmaBouvier_R2 - polya	(1, 0.22189349112426035)	(2, 0.2958579881656805)	(3, 0.2958579881656805)	(4, 0.2958579881656805)	(5, 0.2958579881656805)	(6, 0.2958579881656805)	(7, 0.2958579881656805)	(8, 0.2958579881656805)	(9, 0.2958579881656805)	(10, 0.2958579881656805)	(15, 0.3402366863905325)	(20, 0.3698224852071006)	(25, 0.3698224852071006)	(30, 0.3994082840236687)	(35, 0.4437869822485207)	(40, 0.4437869822485207)	(45, 0.4881656804733727)	(50, 0.5177514792899408)	(55, 0.5177514792899408)	(60, 0.6213017751479291)	(65, 0.665680473372781)	(70, 0.680473372781065)	(75, 0.7396449704142012)	(80, 0.7396449704142012)	(85, 0.7396449704142012)	(90, 0.7396449704142012)	(95, 0.7396449704142012)	(100, 0.7396449704142012)	(105, 0.7396449704142012)	(110, 0.7396449704142012)	(115, 0.7396449704142012)	(120, 0.7396449704142012)	(125, 0.7544378698224852)	(130, 0.8136094674556213)	(135, 0.8136094674556213)	(140, 0.8136094674556213)
